発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1990-04-21,セガ,時の継承者ファンタシースターIII,-,5,RPG,"￥8,700","￥8,500代",0,MD,,佐伯広人|ヤン・ワット,SWEEPER|塚本一成,尾崎豊中|せがわまさき,竹内出穂,佐伯広人,塚本一成,
1990-04-27,シグマ商事,サイオブレード,-,4,ADV,"￥8,500","￥8,500代",0,MD,,横山英二,西脇健太郎|小田芳郁,中島健二|中島健二|三浦かよ子|YOSHINORI MASUDA|AKIMICHI MORIBE|早瀬孝子,長谷川和伯|富田茂,TEAM RACCOON,横山俊朗,
1990-05-19,セガ,DJボーイ,-,3,ACT,"￥6,000","￥6,000代",0,MD,,,,,,,,
1990-05-26,セガ,ウィップラッシュ惑星ボルテガスの謎,-,3,SHT,"￥6,000","￥6,000代",0,MD,,,,,,,,
1990-06-08,サンソフト,TEL・TELまあじゃん,-,2,TBL,"￥5,800","￥6,000代",0,MD,,,,,,,,
1990-06-08,テクノソフト,サンダーフォースIII,31,3,SHT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1990-06-23,セガ,大旋風,30,3,SHT,"￥6,000","￥6,000代",0,MD,,,,,太田理,,,
1990-06-30,セガ,ゴーストバスターズ,-,3,ACT,"￥6,000","￥6,000代",0,MD,,,,,エルマー・バーンスタイン,ダン・エイクロイド|ハロルド・ライミス,,
1990-06-30,セガ,コラムス,-,1,PZL,"￥5,500","￥5,500代",13,MD,,,,ジェイ・ギールセン,上保徳彦,,,
1990-07-14,セガ,ESWAT,-,3,ACT,"￥6,000","￥6,000代",0,MD,,,,,,,,
1990-07-20,ナムコ,フェリオス,-,3,SHT,"￥5,800","￥6,000代",0,MD,,,,,川元義徳,,,
1990-07-27,サンソフト,バットマン,-,3,ACT,"￥6,500","￥6,500代",0,MD,,,,,,,,
1990-07-28,セガ,サイバーボール,-,3,SPT,"￥6,000","￥6,000代",0,MD,,,,,,,,
1990-08-09,セガ,スーパーモナコGP,34,3,RCG,"￥6,000","￥6,000代",6,MD,,,,小口久雄,並木晃一,,,
1990-08-10,タイトー,ラスタンサーガII,-,3,ACT,"￥6,800","￥7,000代",0,MD,,小林よしのり,小林よしのり|とみたかひであき|たかはしとおる|かざまひでお,西村年幸|西村年幸|讃岐平|河上聖治|栗城源也,八木下直人|高木正彦,,小林よしのり,
1990-08-10,シグマ商事,四天明王,-,3,ACT,"￥6,200","￥6,000代",0,MD,,,,,,,,
1990-08-25,セガ,マイケルジャクソンズムーンウォーカー,-,3,ACT,"￥6,000","￥6,000代",10,MD,,,,マイケル・ジャクソン,中林亨,,,
1990-08-26,ユニパック,XDR,-,3,SHT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1990-09-07,ホット・ビィ,インセクターX,-,3,SHT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1990-09-07,ナムコ,クラックス,-,2,PZL,"￥4,900","￥5,000代",0,MD,,,デヴィッド・エーカース,マーク・スティーブン・ピアス,ブラッド・フラー,,,
1990-09-07,タイトー,スペースインベーダー90,-,2,SHT,"￥5,900","￥6,000代",0,MD,,,,,,,,
1990-09-28,メサイヤ,ヘルファイアー,-,3,SHT,"￥6,800","￥7,000代",0,MD,,,,,上村建也,,,
1990-09-29,セガ,ストライダー飛竜,-,6,ACT,"￥7,000","￥7,000代",0,MD,,,やまうちとしひろ|小松多恵|みきとしひこ|桑名正|金子清巳,四井浩一|藤原得郎|吉本伸一|坂下眞司|栗原明美,民谷淳子,,,
1990-10-05,タイトー,レインボーアイランドエキストラ,-,3,ACT,"￥6,800","￥7,000代",0,MD,,,藤末一郎|みきこうじ|おくのこうじ,三辻富貴朗|三辻富貴朗|讃岐平,相澤静夫|小倉久佳,三辻富貴朗,,
1990-10-12,ウルフチーム,FZ戦記AXIS(アクシス),-,3,ACT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1990-10-12,サンリツ電気,ファットマン,-,4,ACT,"￥7,800","￥8,000代",0,MD,,,,,,,,
1990-10-19,ナムコ,バーニングフォース,-,3,SHT,"￥5,800","￥6,000代",0,MD,,,,,川元義徳,,,
1990-10-20,セガ,アローフラッシュ,-,3,SHT,"￥6,000","￥6,000代",0,MD,,,,,,,,
1990-10-21,サンソフト,TEL・TELスタジアム,-,3,SPT,"￥6,500","￥6,500代",0,MD,,,竹内昭人|ふじいひろかつ|メ メ|あんどうはつえ,AKIRA|AME,VIAL MUSIC,,,
1990-10-27,セガ,ダイナマイトデューク,-,3,ACT,"￥6,000","￥6,000代",0,MD,,,,,,,,
1990-11-02,東亜プラン,鮫!鮫!鮫!,31,3,SHT,"￥6,500","￥6,500代",0,MD,,弓削雅稔,弓削雅稔,岩渕孝悦|中岡慎太郎,弓削雅稔,,,
1990-11-16,ウルフチーム,グラナダ,-,3,SHT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1990-11-21,セガ,アイラブミッキーマウスふしぎのお城大冒険,30,3,ACT,"￥4,800","￥5,000代",10,MD,,山本恵美子(メガドライブ)|吉田芳雄(マスターシステム|ゲームギア),SATMAN(メガドライブ)|KOTTU(メガドライブ)|MUIMUI(メガドライブ)|ORE(メガドライブ)|庄司卓(マスターシステム|ゲームギア),山本恵美子|吉田芳雄(マスターシステム|ゲームギア)|Michel Koba(マスターシステム|ゲームギア)|遠藤智三(マスターシステム|ゲームギア)|湯田高志(メガドライブ)|MIKARIN(メガドライブ)|LA-RIE(メガドライブ)| MACCOCHAN(メガドライブ)|川口貴子(マスターシステム|ゲームギア)|KYUUZOU F.(マスターシステム|ゲームギア),神谷重徳,,Stephan L. Butler|ORE(メガドライブ),
1990-11-22,ナムコ,メガパネル,-,2,PZL,"￥4,900","￥5,000代",0,MD,,,PRIMON,乗松聡,田島勝朗,,,
1990-11-25,マイクロネット,ジャンクション,-,3,PZL,"￥6,000","￥6,000代",0,MD,,,,,,,,
1990-12-01,セガ,シャドーダンサーザ・シークレット・オブ・シノビ,-,3,ACT,"￥6,000","￥6,000代",0,MD,,,,,,,,
1990-12-12,アスミック,キューティー鈴木のリングサイドエンジェル,-,3,SPT,"￥6,800","￥7,000代",0,MD,,,なかみちさえこ,NARISAWA|A AND K,森彰彦,,たかさきかずゆき,
1990-12-14,トレコ,アトミックロボキッド,-,3,ACT,"￥6,800","￥7,000代",0,MD,,,新井利男,藤沢勉|藤沢勉|たじまとくひさ,メカノアソシエイツ,,,
1990-12-14,テクノソフト,エレメンタルマスター,-,3,SHT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1990-12-14,ゲームアーツ,ぎゅわんぶらあ自己中心派片山まさゆきの麻雀道場,-,3,TBL,"￥6,800","￥7,000代",0,MD,,,,,,,,
1990-12-15,セガ,まじかるハットのぶっとびターボ!大冒険,-,3,ACT,"￥5,800","￥6,000代",0,MD,,,,,,,,
1990-12-18,ナムコ,デンジャラスシード,-,3,SHT,"￥5,800","￥6,000代",0,MD,,H.SHIMA,A.SAM|S.SHIMIZU,S.SHIMIZU|篠崎雄一郎|篠崎雄一郎|佐々木茂雄|福岡充,奈雲美徳,,,
1990-12-20,セガ,クラックダウン,-,3,ACT,"￥6,000","￥6,000代",0,MD,,,,,川上泰広,,,
