日付,性別,年齢,政党,都道府県,立候補者名,職業,職業カテゴリ(未使用),カウント,職業カテゴリ,選挙制度,小選挙区,前・元・新,当選回数,推薦,性別>年齢,政党>性別,政党>年齢>性別,政党>都道府県,政党>職業カテゴリ
2024-10-27,♂男性,54,自民,石川県,小森 卓郎♂(54),元総務政務官、元金融庁総合政策課長,0,1,政務官,小選挙区,01,前,2,公明,,,,,
2024-10-27,♂男性,50,自民,石川県,佐々木 紀♂(50),元国土交通政務官、元自民党青年局長,0,1,政務官,小選挙区,02,前,5,公明,,,,,
2024-10-27,♂男性,50,立民,石川県,近藤 和也♂(50),立憲民主党石川県連代表、元野村証券社員,0,1,政党役職,小選挙区,03,前,4,-,,,,,
2024-10-27,♀女性,65,自民,福井県,稲田 朋美♀(65),元防衛大臣、元自民党幹事長代理,0,1,大臣,小選挙区,01,前,7,公明,,,,,
2024-10-27,♂男性,54,立民,福井県,辻 英之♂(54),NPO法人代表、元青森大学社会学部教授,0,1,政党役職,小選挙区,02,新,1,-,,,,,
2024-10-27,♀女性,64,自民,岐阜県,野田 聖子♀(64),元少子化担当大臣、元自民党幹事長代行,0,1,大臣,小選挙区,01,前,11,公明,,,,,
2024-10-27,♂男性,61,自民,岐阜県,棚橋 泰文♂(61),元国家公安委員長、元衆議院予算委員長,0,1,政党役職,小選挙区,02,前,10,公明,,,,,
2024-10-27,♂男性,69,自民,岐阜県,武藤 容治♂(69),経済産業大臣、自民党岐阜県連会長,0,1,大臣,小選挙区,03,前,6,公明,,,,,
2024-10-27,♂男性,62,立民,岐阜県,今井 雅人♂(62),元ＵＦＪ銀行行員、元立憲民主党内閣部会長,0,1,会社員,小選挙区,04,元,5,-,,,,,
2024-10-27,♂男性,71,自民,岐阜県,古屋 圭司♂(71),元国家公安委員長、自民党憲法改正実現本部長,0,1,政党役職,小選挙区,05,前,12,公明,,,,,
2024-10-27,♀女性,71,自民,静岡県,上川 陽子♀(71),元外務大臣、元法務大臣,0,1,大臣,小選挙区,01,前,8,公明,,,,,
2024-10-27,♂男性,48,自民,静岡県,井林 辰憲♂(48),内閣府副大臣、自民党静岡県連会長,0,1,大臣,小選挙区,02,前,5,公明,,,,,
2024-10-27,♂男性,48,立民,静岡県,小山 展弘♂(48),元農林中央金庫職員、元日本労働者協同組合連合会顧問,0,1,官僚,小選挙区,03,前,4,-,,,,,
2024-10-27,♂男性,47,国民,静岡県,田中 健♂(47),元東京都議会議員、国民民主党静岡県連会長,0,1,議員,小選挙区,04,前,2,-,,,,,
2024-10-27,♂男性,53,自民,静岡県,細野 豪志♂(53),元環境大臣、元民主党幹事長,0,1,大臣,小選挙区,05,前,9,公明,,,,,
2024-10-27,♂男性,62,立民,静岡県,渡辺 周♂(62),元立憲民主党幹事長代行、元防衛副大臣,0,1,政党役職,小選挙区,06,前,10,-,,,,,
